Country,Code,Region 1,Region 2,Continent
Faroe Islands,FRO,Northern Europe,,Europe
Fiji,FJI,Melanesia,,Oceania
Finland,FIN,Northern Europe,,Europe
France,FRA,Western Europe,,Europe
French Guiana,GUF,South America,Latin America and the Caribbean,South America
French Polynesia,PYF,Polynesia,,Oceania
French Southern Territories,ATF,Eastern Africa,Sub-Saharan Africa,Africa
Gabon,GAB,Middle Africa,Sub-Saharan Africa,Africa
Gambia,GMB,Western Africa,Sub-Saharan Africa,Africa
Georgia,GEO,Western Asia,,Asia
Germany,DEU,Western Europe,,Europe
Ghana,GHA,Western Africa,Sub-Saharan Africa,Africa
Gibraltar,GIB,Southern Europe,,Europe
Greece,GRC,Southern Europe,,Europe
Greenland,GRL,Northern America,,North America
Grenada,GRD,Caribbean,Latin America and the Caribbean,North America
Guadeloupe,GLP,Caribbean,Latin America and the Caribbean,North America
Guam,GUM,Micronesia,,Oceania
Guatemala,GTM,Central America,Latin America and the Caribbean,North America
Guernsey,GGY,Northern Europe,Channel Islands,Europe
Guinea,GIN,Western Africa,Sub-Saharan Africa,Africa
Guinea-Bissau,GNB,Western Africa,Sub-Saharan Africa,Africa
Guyana,GUY,South America,Latin America and the Caribbean,South America
Haiti,HTI,Caribbean,Latin America and the Caribbean,North America
Heard Island and McDonald Islands,HMD,Australia and New Zealand,,Oceania
Holy See,VAT,Southern Europe,,Europe
Honduras,HND,Central America,Latin America and the Caribbean,North America
Hungary,HUN,Eastern Europe,,Europe
Iceland,ISL,Northern Europe,,Europe
India,IND,Southern Asia,,Asia
Indonesia,IDN,South-eastern Asia,,Asia
Iran,IRN,Southern Asia,,Asia
Iraq,IRQ,Western Asia,,Asia
Ireland,IRL,Northern Europe,,Europe
Isle of Man,IMN,Northern Europe,,Europe
Israel,ISR,Western Asia,,Asia
Italy,ITA,Southern Europe,,Europe
Jamaica,JAM,Caribbean,Latin America and the Caribbean,North America
Japan,JPN,Eastern Asia,,Asia
Jersey,JEY,Northern Europe,Channel Islands,Europe
Jordan,JOR,Western Asia,,Asia
Kazakhstan,KAZ,Central Asia,,Asia
Kenya,KEN,Eastern Africa,Sub-Saharan Africa,Africa
Kiribati,KIR,Micronesia,,Oceania
Kuwait,KWT,Western Asia,,Asia
Kyrgyzstan,KGZ,Central Asia,,Asia
Lao People's Democratic Republic,LAO,South-eastern Asia,,Asia
Latvia,LVA,Northern Europe,,Europe
Lebanon,LBN,Western Asia,,Asia
Lesotho,LSO,Southern Africa,Sub-Saharan Africa,Africa
Liberia,LBR,Western Africa,Sub-Saharan Africa,Africa
Libya,LBY,Northern Africa,,Africa
Liechtenstein,LIE,Western Europe,,Europe
Lithuania,LTU,Northern Europe,,Europe
Luxembourg,LUX,Western Europe,,Europe
Madagascar,MDG,Eastern Africa,Sub-Saharan Africa,Africa
Malawi,MWI,Eastern Africa,Sub-Saharan Africa,Africa
Malaysia,MYS,South-eastern Asia,,Asia
Maldives,MDV,Southern Asia,,Asia
Mali,MLI,Western Africa,Sub-Saharan Africa,Africa
Malta,MLT,Southern Europe,,Europe
Marshall Islands,MHL,Micronesia,,Oceania
Martinique,MTQ,Caribbean,Latin America and the Caribbean,North America
Mauritania,MRT,Western Africa,Sub-Saharan Africa,Africa
Mauritius,MUS,Eastern Africa,Sub-Saharan Africa,Africa
Mayotte,MYT,Eastern Africa,Sub-Saharan Africa,Africa
Mexico,MEX,Central America,Latin America and the Caribbean,North America
Micronesia (Federated States of),FSM,Micronesia,,Oceania
Monaco,MCO,Western Europe,,Europe
Mongolia,MNG,Eastern Asia,,Asia
Montenegro,MNE,Southern Europe,,Europe
Montserrat,MSR,Caribbean,Latin America and the Caribbean,North America
Morocco,MAR,Northern Africa,,Africa
Mozambique,MOZ,Eastern Africa,Sub-Saharan Africa,Africa
Myanmar,MMR,South-eastern Asia,,Asia
Namibia,NAM,Southern Africa,Sub-Saharan Africa,Africa
Nauru,NRU,Micronesia,,Oceania
Nepal,NPL,Southern Asia,,Asia
Netherlands,NLD,Western Europe,,Europe
New Caledonia,NCL,Melanesia,,Oceania
New Zealand,NZL,Australia and New Zealand,,Oceania
Nicaragua,NIC,Central America,Latin America and the Caribbean,North America
Niger,NER,Western Africa,Sub-Saharan Africa,Africa
Nigeria,NGA,Western Africa,Sub-Saharan Africa,Africa
Niue,NIU,Polynesia,,Oceania
Norfolk Island,NFK,Australia and New Zealand,,Oceania
North Macedonia,MKD,Southern Europe,,Europe
Northern Mariana Islands,MNP,Micronesia,,Oceania
Norway,NOR,Northern Europe,,Europe
Oman,OMN,Western Asia,,Asia
Pakistan,PAK,Southern Asia,,Asia
Palau,PLW,Micronesia,,Oceania
Panama,PAN,Central America,Latin America and the Caribbean,North America
Papua New Guinea,PNG,Melanesia,,Oceania
Paraguay,PRY,South America,Latin America and the Caribbean,South America
Peru,PER,South America,Latin America and the Caribbean,South America
Philippines,PHL,South-eastern Asia,,Asia
Pitcairn,PCN,Polynesia,,Oceania
Poland,POL,Eastern Europe,,Europe
Portugal,PRT,Southern Europe,,Europe
Puerto Rico,PRI,Caribbean,Latin America and the Caribbean,North America
Qatar,QAT,Western Asia,,Asia
Republic of Korea,KOR,Eastern Asia,,Asia
Republic of Moldova,MDA,Eastern Europe,,Europe
Réunion,REU,Eastern Africa,Sub-Saharan Africa,Africa
Romania,ROU,Eastern Europe,,Europe
USSR,RUS,Eastern Europe,,Europe
Rwanda,RWA,Eastern Africa,Sub-Saharan Africa,Africa
Saint Barthélemy,BLM,Caribbean,Latin America and the Caribbean,North America
Saint Helena,SHN,Western Africa,Sub-Saharan Africa,Africa
Saint Kitts and Nevis,KNA,Caribbean,Latin America and the Caribbean,North America
Saint Lucia,LCA,Caribbean,Latin America and the Caribbean,North America
Saint Martin (French Part),MAF,Caribbean,Latin America and the Caribbean,North America
Saint Pierre and Miquelon,SPM,Northern America,,North America
Saint Vincent and the Grenadines,VCT,Caribbean,Latin America and the Caribbean,North America
Samoa,WSM,Polynesia,,Oceania
San Marino,SMR,Southern Europe,,Europe
Sao Tome and Principe,STP,Middle Africa,Sub-Saharan Africa,Africa
Sark,,Northern Europe,Channel Islands,Europe
Saudi Arabia,SAU,Western Asia,,Asia
Senegal,SEN,Western Africa,Sub-Saharan Africa,Africa
Serbia,SRB,Southern Europe,,Europe
Seychelles,SYC,Eastern Africa,Sub-Saharan Africa,Africa
Sierra Leone,SLE,Western Africa,Sub-Saharan Africa,Africa
Singapore,SGP,South-eastern Asia,,Asia
Sint Maarten (Dutch part),SXM,Caribbean,Latin America and the Caribbean,North America
Slovakia,SVK,Eastern Europe,,Europe
Slovenia,SVN,Southern Europe,,Europe
Solomon Islands,SLB,Melanesia,,Oceania
Somalia,SOM,Eastern Africa,Sub-Saharan Africa,Africa
South Africa,ZAF,Southern Africa,Sub-Saharan Africa,Africa
South Georgia and the South Sandwich Islands,SGS,South America,Latin America and the Caribbean,South America
South Sudan,SSD,Eastern Africa,Sub-Saharan Africa,Africa
Spain,ESP,Southern Europe,,Europe
Sri Lanka,LKA,Southern Asia,,Asia
State of Palestine,PSE,Western Asia,,Asia
Sudan,SDN,Northern Africa,,Africa
Suriname,SUR,South America,Latin America and the Caribbean,South America
Svalbard and Jan Mayen Islands,SJM,Northern Europe,,Europe
Sweden,SWE,Northern Europe,,Europe
Switzerland,CHE,Western Europe,,Europe
Syrian Arab Republic,SYR,Western Asia,,Asia
Tajikistan,TJK,Central Asia,,Asia
Thailand,THA,South-eastern Asia,,Asia
Timor-Leste,TLS,South-eastern Asia,,Asia
Togo,TGO,Western Africa,Sub-Saharan Africa,Africa
Tokelau,TKL,Polynesia,,Oceania
Tonga,TON,Polynesia,,Oceania
Trinidad & Tobago,TTO,Caribbean,Latin America and the Caribbean,North America
Tunisia,TUN,Northern Africa,,Africa
Turkey,TUR,Western Asia,,Asia
Turkmenistan,TKM,Central Asia,,Asia
Turks and Caicos Islands,TCA,Caribbean,Latin America and the Caribbean,North America
Tuvalu,TUV,Polynesia,,Oceania
Uganda,UGA,Eastern Africa,Sub-Saharan Africa,Africa
Ukraine,UKR,Eastern Europe,,Europe
United Arab Emirates,ARE,Western Asia,,Asia
United Kingdom,GBR,Northern Europe,,Europe
United Republic of Tanzania,TZA,Eastern Africa,Sub-Saharan Africa,Africa
United States Minor Outlying Islands,UMI,Micronesia,,Oceania
US,USA,Northern America,,North America
United States Virgin Islands,VIR,Caribbean,Latin America and the Caribbean,North America
Uruguay,URY,South America,Latin America and the Caribbean,South America
Uzbekistan,UZB,Central Asia,,Asia
Vanuatu,VUT,Melanesia,,Oceania
Venezuela,VEN,South America,Latin America and the Caribbean,South America
VietNam,VNM,South-eastern Asia,,Asia
Wallis and Futuna Islands,WLF,Polynesia,,Oceania
Western Sahara,ESH,Northern Africa,,Africa
Yemen,YEM,Western Asia,,Asia
Zambia,ZMB,Eastern Africa,Sub-Saharan Africa,Africa
Zimbabwe,ZWE,Eastern Africa,Sub-Saharan Africa,Africa
Czech Republic,,Eastern Europe,,Europe
South Korea,,Eastern Asia,,Asia
Taiwan,,Eastern Asia,,Asia
